                 Time [s]	     Steps	  RhsEvals	 LinSetups	  NIters	 NConvFails	  NErrFails	 Order	  StepSize [s]
            62.7296585986	       104	       141	        34	     139	          0	          6	     4	      8.901929
           127.9977169412	       110	       149	        35	     147	          0	          6	     4	     20.758411
           190.2729499175	       113	       153	        35	     151	          0	          6	     4	     20.758411
           252.5481828937	       116	       156	        35	     154	          0	          6	     4	     20.758411
           316.4356082952	       118	       158	        36	     156	          0	          6	     5	     31.943713
           380.3230336968	       120	       160	        36	     158	          0	          6	     5	     31.943713
           436.9195956075	       121	       162	        37	     160	          0	          6	     5	     56.596562
           493.5161575182	       122	       164	        37	     162	          0	          6	     5	     56.596562
           550.1127194289	       123	       165	        37	     163	          0	          6	     5	     56.596562
           606.7092813396	       124	       166	        37	     164	          0	          6	     5	     56.596562
           663.3058432503	       125	       167	        37	     165	          0	          6	     5	     56.596562
           776.4989670717	       127	       169	        37	     167	          0	          6	     5	     56.596562
           833.0955289823	       128	       170	        37	     168	          0	          6	     5	     56.596562
           889.6920908930	       129	       171	        37	     169	          0	          6	     5	     56.596562
           946.2886528037	       130	       172	        37	     170	          0	          6	     5	     56.596562
          1042.0890279195	       131	       174	        38	     172	          0	          6	     4	     95.800375
          1137.8894030353	       132	       175	        38	     173	          0	          6	     4	     95.800375
          1233.6897781511	       133	       176	        38	     174	          0	          6	     4	     95.800375
          1329.4901532669	       134	       177	        38	     175	          0	          6	     4	     95.800375
          1425.2905283827	       135	       178	        38	     176	          0	          6	     4	     95.800375
          1570.9140437876	       136	       179	        39	     177	          0	          6	     4	    145.623515
          1716.5375591925	       137	       180	        39	     178	          0	          6	     4	    145.623515
          1862.1610745974	       138	       181	        39	     179	          0	          6	     4	    145.623515
          2007.7845900022	       139	       182	        39	     180	          0	          6	     4	    145.623515
          2153.4081054071	       140	       183	        39	     181	          0	          6	     4	    145.623515
          2375.3866569111	       141	       184	        40	     182	          0	          6	     4	    221.978552
          2597.3652084151	       142	       185	        40	     183	          0	          6	     4	    221.978552
          2819.3437599191	       143	       186	        40	     184	          0	          6	     4	    221.978552
          3190.1481001757	       144	       188	        41	     186	          0	          6	     5	    370.804340
          3560.9524404324	       145	       189	        41	     187	          0	          6	     5	    370.804340
          3931.7567806890	       146	       190	        41	     188	          0	          6	     5	    370.804340
          7661.2503651702	       154	       199	        42	     197	          0	          6	     5	    561.569056
         10977.4105852422	       158	       203	        43	     201	          0	          6	     4	    918.197055
         15604.6698327377	       162	       207	        44	     205	          0	          6	     4	   1395.432569
         18395.5349707609	       164	       209	        44	     207	          0	          6	     4	   1395.432569
         23390.9675397725	       167	       212	        44	     210	          0	          6	     4	   1800.000000
         26990.9675397725	       169	       214	        44	     212	          0	          6	     5	   1800.000000
         30590.9675397725	       171	       216	        44	     214	          0	          6	     5	   1800.000000
         34190.9675397725	       173	       218	        44	     216	          0	          6	     5	   1800.000000
         37790.9675397725	       175	       220	        44	     218	          0	          6	     5	   1800.000000
         41390.9675397725	       177	       222	        44	     220	          0	          6	     5	   1800.000000
         44990.9675397725	       179	       224	        44	     222	          0	          6	     5	   1800.000000
         48590.9675397725	       181	       226	        45	     224	          0	          6	     5	   1800.000000
         52190.9675397725	       183	       228	        45	     226	          0	          6	     5	   1800.000000
         55790.9675397725	       185	       230	        45	     228	          0	          6	     5	   1800.000000
         59390.9675397725	       187	       232	        45	     230	          0	          6	     5	   1800.000000
         62990.9675397725	       189	       234	        45	     232	          0	          6	     5	   1800.000000
         66590.9675397725	       191	       236	        45	     234	          0	          6	     5	   1800.000000
         70190.9675397725	       193	       238	        45	     236	          0	          6	     5	   1800.000000
         73790.9675397725	       195	       240	        45	     238	          0	          6	     5	   1800.000000
         77390.9675397725	       197	       242	        45	     240	          0	          6	     5	   1800.000000
         80990.9675397725	       199	       244	        45	     242	          0	          6	     5	   1800.000000
         84590.9675397725	       201	       246	        46	     244	          0	          6	     5	   1800.000000
         88190.9675397725	       203	       248	        46	     246	          0	          6	     5	   1800.000000
         91790.9675397725	       205	       250	        46	     248	          0	          6	     5	   1800.000000
         95390.9675397725	       207	       252	        46	     250	          0	          6	     5	   1800.000000
         98990.9675397725	       209	       254	        46	     252	          0	          6	     5	   1800.000000
        102590.9675397725	       211	       256	        46	     254	          0	          6	     5	   1800.000000
        106190.9675397725	       213	       258	        46	     256	          0	          6	     5	   1800.000000
        109790.9675397725	       215	       260	        46	     258	          0	          6	     5	   1800.000000
        113390.9675397725	       217	       262	        46	     260	          0	          6	     5	   1800.000000
        116990.9675397725	       219	       264	        46	     262	          0	          6	     5	   1800.000000
        120590.9675397725	       221	       266	        47	     264	          0	          6	     5	   1800.000000
        124190.9675397725	       223	       268	        47	     266	          0	          6	     5	   1800.000000
        127790.9675397725	       225	       270	        47	     268	          0	          6	     5	   1800.000000
        131390.9675397725	       227	       272	        47	     270	          0	          6	     5	   1800.000000
        134990.9675397725	       229	       274	        47	     272	          0	          6	     5	   1800.000000
        138590.9675397725	       231	       276	        47	     274	          0	          6	     5	   1800.000000
        142190.9675397725	       233	       278	        47	     276	          0	          6	     5	   1800.000000
        145790.9675397725	       235	       280	        47	     278	          0	          6	     5	   1800.000000
        149390.9675397725	       237	       282	        47	     280	          0	          6	     5	   1800.000000
        152990.9675397725	       239	       284	        47	     282	          0	          6	     5	   1800.000000
        156590.9675397725	       241	       286	        48	     284	          0	          6	     5	   1800.000000
        160190.9675397725	       243	       288	        48	     286	          0	          6	     5	   1800.000000
        163790.9675397725	       245	       290	        48	     288	          0	          6	     5	   1800.000000
        167390.9675397725	       247	       292	        48	     290	          0	          6	     5	   1800.000000
        170990.9675397725	       249	       294	        48	     292	          0	          6	     5	   1800.000000
        174590.9675397725	       251	       296	        48	     294	          0	          6	     5	   1800.000000
        178190.9675397725	       253	       298	        48	     296	          0	          6	     5	   1800.000000
        181790.9675397725	       255	       300	        48	     298	          0	          6	     5	   1800.000000
        185390.9675397725	       257	       302	        48	     300	          0	          6	     5	   1800.000000
        188990.9675397725	       259	       304	        48	     302	          0	          6	     5	   1800.000000
        192590.9675397725	       261	       306	        49	     304	          0	          6	     5	   1800.000000
        196190.9675397725	       263	       308	        49	     306	          0	          6	     5	   1800.000000
        199790.9675397725	       265	       310	        49	     308	          0	          6	     5	   1800.000000
        203390.9675397725	       267	       312	        49	     310	          0	          6	     5	   1800.000000
        206990.9675397725	       269	       314	        49	     312	          0	          6	     5	   1800.000000
        210590.9675397725	       271	       316	        49	     314	          0	          6	     5	   1800.000000
        214190.9675397725	       273	       318	        49	     316	          0	          6	     5	   1800.000000
        217790.9675397725	       275	       320	        49	     318	          0	          6	     5	   1800.000000
        221390.9675397725	       277	       322	        49	     320	          0	          6	     5	   1800.000000
        224990.9675397725	       279	       324	        49	     322	          0	          6	     5	   1800.000000
        228590.9675397725	       281	       326	        50	     324	          0	          6	     5	   1800.000000
        232190.9675397725	       283	       328	        50	     326	          0	          6	     5	   1800.000000
        235790.9675397725	       285	       330	        50	     328	          0	          6	     5	   1800.000000
        239390.9675397725	       287	       332	        50	     330	          0	          6	     5	   1800.000000
        242990.9675397725	       289	       334	        50	     332	          0	          6	     5	   1800.000000
        246590.9675397725	       291	       336	        50	     334	          0	          6	     5	   1800.000000
        250190.9675397725	       293	       338	        50	     336	          0	          6	     5	   1800.000000
        253790.9675397725	       295	       340	        50	     338	          0	          6	     5	   1800.000000
