# Delphin 5 Output file
# TYPE          = FIELD
# PROJECT_FILE  = C:\Users\allen\ownCloud\Reference house champs\coarse_grid\Baseline.dpj
# CREATED       = Thu Jul 11 04:19:00 2019
# QUANTITY      = Intrinsic VOC density in gas phase
# SPACE_TYPE    = SINGLE
# TIME_TYPE     = NONE
# VALUE_UNIT    = mg/m3
# TIME_UNIT     = h

TABLE  MATERIALS
1          16714153   R13 Fiber Glass
2          11448063   Plywood
3          16777088   Gypsum Board
4          8454143    Air
5          9737417    Carpet

TABLE  GRID
0.00666667 0.00666667 0.00666667 0.0118982 0.0171985 0.0171985 0.0171985 0.0169879 0.00951853 0.00533333 0.00533333 0.00533333 0.00951853 0.0169879 0.0303188 0.0541107 0.0965726 0.208746 0.208746 0.208746 0.208746 0.0965726 0.0541107 0.0303188 0.0169879 0.00951853 0.00533333 0.00533333 0.00533333 0.00951853 0.0169879 0.0171985 0.0171985 0.0171985 0.0118982 0.00666667 0.00666667 0.00666667 0.0118982 0.0171985 0.0171985 0.0171985 0.0169879 0.00951853 0.00533333 0.00533333 0.00533333 0.00951853 0.0169879 0.0303188 0.0541107 0.0965726 0.172355 0.307607 0.548994 1.00677 1.00677 1.00677 1.00677 0.548994 0.307607 0.172355 0.0965726 0.0541107 0.0303188 0.0169879 0.00951853 0.00533333 0.00533333 0.00533333 0.00951853 0.0169879 0.0171985 0.0171985 0.0171985 0.0118982 0.00666667 0.00666667 0.00666667 0.0118982 0.0171985 0.0171985 0.0171985 0.0169879 0.00951853 0.00533333 0.00533333 0.00533333 0.00951853 0.0169879 0.0303188 0.0541107 0.0965726 0.208746 0.208746 0.208746 0.208746 0.0965726 0.0541107 0.0303188 0.0169879 0.00951853 0.00533333 0.00533333 0.00533333 0.00951853 0.0169879 0.0171985 0.0171985 0.0171985 0.0118982 0.00666667 0.00666667 0.00666667 
0.00666667 0.00666667 0.00666667 0.0118982 0.0171985 0.0171985 0.0171985 0.0169879 0.00951853 0.00533333 0.00533333 0.00533333 0.00951853 0.0169879 0.0303188 0.0482937 0.0482937 0.0482937 0.0482937 0.148727 0.265437 0.473731 0.845479 1.17775 1.17775 1.17775 0.845479 0.473731 0.265437 0.148727 0.0602217 0.0602217 0.0602217 0.0338192 0.0189492 0.0106175 0.00594908 0.00333333 0.00333333 0.00333333 0.00594908 0.00810184 0.00594908 0.00333333 0.00333333 0.00333333 0.00594908 0.0106175 0.0167167 0.0167167 0.0167167 0.0167167 0.0106175 0.00594908 0.00333333 0.00333333 0.00333333 0.00594908 0.00810184 0.00594908 0.00333333 0.00333333 0.00333333 0.00594908 0.0106175 0.0189492 0.0338192 0.0603579 0.0864571 0.0864571 0.0864571 0.0541107 0.0303188 0.0169879 0.00951853 0.00533333 0.00533333 0.00533333 0.00951853 0.0169879 0.0171985 0.0171985 0.0171985 0.0118982 0.00666667 0.00666667 0.00666667 
1

TABLE  ELEMENT_GEOMETRY
0        0.00333333335 8.42866653145	 0     0     2
1        0.00333333335 8.42199986475	 0     1     2
2        0.00333333335 8.41533319805	 0     2     2
3        0.00333333335 8.4060507847	 0     3     2
4        0.00333333335 8.3915024767	 0     4     2
5        0.00333333335 8.3743040207	 0     5     2
6        0.00333333335 8.3571055647	 0     6     2
7        0.00333333335 8.3400123637	 0     7     2
8        0.00333333335 8.3267591267	 0     8     2
9        0.00333333335 8.31933319605	 0     9     2
10       0.00333333335 8.31399986275	 0     10    2
11       0.00333333335 8.30866652945	 0     11    2
12       0.00333333335 8.3012405988	 0     12    2
13       0.00333333335 8.2879873618	 0     13    2
14       0.00333333335 8.2643339918	 0     14    2
15       0.00333333335 8.2250277533	 0     15    2
16       0.00333333335 8.1767340703	 0     16    2
17       0.00333333335 8.1284403873	 0     17    2
18       0.00333333335 8.0801467043	 0     18    2
19       0.00333333335 7.9816363628	 0     19    2
20       0.00333333335 7.7745545378	 0     20    2
21       0.00333333335 7.4049706328	 0     21    2
22       0.00333333335 6.7453653678	 0     22    2
23       0.00333333335 5.7337504328	 0     23    2
24       0.00333333335 4.5559999328	 0     24    2
25       0.00333333335 3.3782494328	 0     25    2
26       0.00333333335 2.3666344978	 0     26    2
27       0.00333333335 1.7070292328	 0     27    2
28       0.00333333335 1.3374453278	 0     28    2
29       0.00333333335 1.1303635028	 0     29    2
30       0.00333333335 1.0258891638	 0     30    2
31       0.00333333335 0.9656674858	 0     31    2
32       0.00333333335 0.9054458078	 0     32    2
33       0.00333333335 0.8584253813	 0     33    2
34       0.00333333335 0.8320411708	 0     34    2
35       0.00333333335 0.8172578148	 0     35    2
36       0.00333333335 0.8089745418	 0     36    2
37       0.00333333335 0.80433333515	 0     37    2
38       0.00333333335 0.80100000185	 0     38    2
39       0.00333333335 0.79766666855	 0     39    2
40       0.00333333335 0.7930254619	 0     40    2
41       0.00333333335 0.78600000185	 0     41    2
42       0.00333333335 0.7789745418	 0     42    2
43       0.00333333335 0.77433333515	 0     43    2
44       0.00333333335 0.77100000185	 0     44    2
45       0.00333333335 0.76766666855	 0     45    2
46       0.00333333335 0.7630254619	 0     46    2
47       0.00333333335 0.7547421889	 0     47    2
48       0.00333333335 0.7410750924	 0     48    2
49       0.00333333335 0.7243583654	 0     49    2
50       0.00333333335 0.7076416384	 0     50    2
51       0.00333333335 0.6909249114	 0     51    2
52       0.00333333335 0.6772578149	 0     52    2
53       0.00333333335 0.6689745419	 0     53    2
54       0.00333333335 0.66433333525	 0     54    2
55       0.00333333335 0.66100000195	 0     55    2
56       0.00333333335 0.65766666865	 0     56    2
57       0.00333333335 0.653025462	 0     57    2
58       0.00333333335 0.64600000195	 0     58    2
59       0.00333333335 0.6389745419	 0     59    2
60       0.00333333335 0.63433333525	 0     60    2
61       0.00333333335 0.63100000195	 0     61    2
62       0.00333333335 0.62766666865	 0     62    2
63       0.00333333335 0.623025462	 0     63    2
64       0.00333333335 0.614742189	 0     64    2
65       0.00333333335 0.599958833	 0     65    2
66       0.00333333335 0.5735746225	 0     66    2
67       0.00333333335 0.5264860885	 0     67    2
68       0.00333333335 0.45307861	 0     68    2
69       0.00333333335 0.366621546	 0     69    2
70       0.00333333335 0.280164482	 0     70    2
71       0.00333333335 0.20988061	 0     71    2
72       0.00333333335 0.167665873	 0     72    2
73       0.00333333335 0.144012503	 0     73    2
74       0.00333333335 0.130759266	 0     74    2
75       0.00333333335 0.12333333535	 0     75    2
76       0.00333333335 0.11800000205	 0     76    2
77       0.00333333335 0.11266666875	 0     77    2
78       0.00333333335 0.1052407381	 0     78    2
79       0.00333333335 0.0919875011	 0     79    2
80       0.00333333335 0.0748943001	 0     80    2
81       0.00333333335 0.0576958441	 0     81    2
82       0.00333333335 0.0404973881	 0     82    2
83       0.00333333335 0.0259490801	 0     83    2
84       0.00333333335 0.01666666675	 0     84    2
85       0.00333333335 0.01000000005	 0     85    2
86       0.00333333335 0.00333333334998	 0     86    2
87       0.01000000005 8.42866653145	 1     0     2
88       0.01000000005 8.42199986475	 1     1     2
89       0.01000000005 8.41533319805	 1     2     2
90       0.01000000005 8.4060507847	 1     3     2
91       0.01000000005 8.3915024767	 1     4     2
92       0.01000000005 8.3743040207	 1     5     2
93       0.01000000005 8.3571055647	 1     6     2
94       0.01000000005 8.3400123637	 1     7     2
95       0.01000000005 8.3267591267	 1     8     2
96       0.01000000005 8.31933319605	 1     9     2
97       0.01000000005 8.31399986275	 1     10    2
98       0.01000000005 8.30866652945	 1     11    2
99       0.01000000005 8.3012405988	 1     12    2
100      0.01000000005 8.2879873618	 1     13    2
101      0.01000000005 8.2643339918	 1     14    2
102      0.01000000005 8.2250277533	 1     15    2
103      0.01000000005 8.1767340703	 1     16    2
104      0.01000000005 8.1284403873	 1     17    2
105      0.01000000005 8.0801467043	 1     18    2
106      0.01000000005 7.9816363628	 1     19    2
107      0.01000000005 7.7745545378	 1     20    2
108      0.01000000005 7.4049706328	 1     21    2
109      0.01000000005 6.7453653678	 1     22    2
110      0.01000000005 5.7337504328	 1     23    2
111      0.01000000005 4.5559999328	 1     24    2
112      0.01000000005 3.3782494328	 1     25    2
113      0.01000000005 2.3666344978	 1     26    2
114      0.01000000005 1.7070292328	 1     27    2
115      0.01000000005 1.3374453278	 1     28    2
116      0.01000000005 1.1303635028	 1     29    2
117      0.01000000005 1.0258891638	 1     30    2
118      0.01000000005 0.9656674858	 1     31    2
119      0.01000000005 0.9054458078	 1     32    2
120      0.01000000005 0.8584253813	 1     33    2
121      0.01000000005 0.8320411708	 1     34    2
122      0.01000000005 0.8172578148	 1     35    2
123      0.01000000005 0.8089745418	 1     36    2
124      0.01000000005 0.80433333515	 1     37    2
125      0.01000000005 0.80100000185	 1     38    2
